topic,instrument,provision,role,applies_to,effect,reason
monitoring,bafin-ai,bafin-ai:gdl_IV.1,financial entity,,guidance only,Explains operational monitoring for AI systems.
human-oversight,bafin-ai,bafin-ai:gdl_Annex,financial entity,,guidance only,Illustrates human review in an LLM assistant case study.
data,bafin-ai,bafin-ai:gdl_V.2,financial entity,,guidance only,Explains AI data-security expectations.
incidents,bafin-ai,bafin-ai:gdl_V.3,financial entity,,guidance only,Explains when AI events may be reportable ICT incidents.
third-parties,bafin-ai,bafin-ai:gdl_IV.2,financial entity,,guidance only,Explains cloud and third-party considerations for AI operations.
continuity,bafin-ai,bafin-ai:gdl_IV.1,financial entity,,guidance only,Covers operation and controlled deinstallation of AI systems.
competence,bafin-ai,bafin-ai:gdl_II.2,financial entity,,guidance only,Calls for suitable knowledge and responsibilities for AI.
scope,commission-guidance,aia:gdl_pp-2.3,,,guidance only,Commission guidance explains placing on the market and putting into service.
scope,commission-guidance,aia:gdl_hr-1,,high-risk AI systems,guidance only,Draft Commission guidance explains high-risk classification.
risk-management,commission-guidance,aia:gdl_hr-2.7,,,guidance only,Draft guidance explains the Article 6 classification assessment.
human-oversight,commission-guidance,aia:gdl_pp-10.1.1,,,guidance only,Commission guidance discusses fundamental-rights assessment safeguards.
